"","R","G","B","H","S","V","Pixel","Berat","Class"
"214",169,101,21,103,240,172,12789,26,"Belum Matang"
"204",169,60,25,113,231,169,25422,62,"Setengah Matang"
"226",147.191222541267,87.4192981107626,17.1929811076261,103.515788664576,241.226317003137,145.449116873555,12760.7994465698,29.4192981107626,"Belum Matang"
"451",150.352481156588,103.058421012014,20.2351503614336,100.352969927713,238.823759421706,148.352481156588,14880.9210763257,33.5292105060071,"Belum Matang"
"181.2",126,47,23,113,232,119,21147,45,"Setengah Matang"
"431",168.849505947903,102.742262605112,20.142053257674,102.286920113489,239.321730028372,169.42053257674,14582.0748535157,26.9651900851168,"Belum Matang"
"3",117,51,15,109,243,114,12516,35,"Belum Matang"
"233",173,84,26,108,235,172,23283,40,"Setengah Matang"
"81",133.161993051181,84.2314186445437,13.0925674578175,101.976858135546,242.046283728909,131.161993051181,12402.281774207,35.8380069488194,"Belum Matang"
"26",150.594156866428,96.444805430714,19.0373378589284,101.407467571786,241.555194569286,148.594156866428,12487.5487694764,29.4074675717857,"Belum Matang"
"80",153,56,22,112,239,156,18657,38,"Setengah Matang"
"79",125,51,14,110,238,123,16080,38,"Setengah Matang"
"217",144,70,18,107,242,146,11124,26,"Belum Matang"
"461",139.295199993998,90.4759999699891,17.4405000037514,101.881000007503,243.207099993248,137.207099993248,12324.6651046299,29.5286000045016,"Belum Matang"
"148.1",134,65,16,107,242,130,15408,35,"Setengah Matang"
"1",108,40,11,110,245,107,11766,35,"Belum Matang"
"341",149.434105111985,99.5934228049591,18.1483557012398,100.049451900413,239.950548099587,145.681364614051,14366.9181538748,28.8516442987602,"Belum Matang"
"59.2",135,61,17,109,240,134,22770,56,"Setengah Matang"
"251",144,67,18,108,239,143,14697,36,"Belum Matang"
"8",126,59,18,108,241,121,13608,35,"Belum Matang"
"175",156,68,26,110,231,158,18933,52,"Setengah Matang"
"215",163,105,19,101,242,165,12123,26,"Belum Matang"
"21",149.129402153892,79.1939482744783,19.7742435343098,105.22575646569,240.354848706862,146.258494395064,15831.8169829454,31.8063616382424,"Belum Matang"
"209",133,50,18,112,238,130,19911,62,"Setengah Matang"
"216",177,111,21,101,239,178,14769,26,"Belum Matang"
"64.1",159,67,25,110,233,163,20886,27,"Setengah Matang"
"66",128,45,18,113,236,127,18570,27,"Setengah Matang"
"46",156,77,22,107,237,153,30480,56,"Setengah Matang"
"208",128,44,16,113,237,124,21195,62,"Setengah Matang"
"541",173.158635738073,101.122206183616,21,103.19506529253,241.19506529253,174.158635738073,12860.9394944685,26,"Belum Matang"
"218",188,101,30,105,234,187,14310,26,"Belum Matang"
"12",144,76,21,105,239,140,15111,35,"Belum Matang"
"198",149,54,25,113,230,147,23010,62,"Setengah Matang"
"168",122,55,14,108,241,115,16572,52,"Setengah Matang"
"161",146,63,16,109,240,143,13146,30,"Belum Matang"
"163",129,56,16,109,240,129,10947,30,"Belum Matang"
"139",136,60,18,108,239,138,18765,35,"Setengah Matang"
"279.2",145,55,17,111,238,146,15504,39,"Setengah Matang"
"152",160,73,18,108,239,162,13809,30,"Belum Matang"
"244",133,84,13,102,242,131,12417,36,"Belum Matang"
"19",137.121285931207,65.2803214828018,17.7196785171982,107.093440494267,240.186880988535,132.775369391078,17205.0172878129,34.5327975286637,"Belum Matang"
"145",172,74,28,110,233,174,23865,35,"Setengah Matang"
"16",176.760296726832,110.628846544772,20.9613381817471,101.061858909205,239.007732363651,177.72936727223,14756.4503737951,26.0309294546023,"Belum Matang"
"20",143.411613846198,70.1881296923384,19.8529034615494,107,237.776515846141,140.264517307747,17702.4185748459,35.3705806923099,"Belum Matang"
"41",141,89,17,101,242,136,13644,29,"Belum Matang"
"231.1",139,70,17,107,238,137,18222,40,"Setengah Matang"
"32",116,92,13,96,244,114,12141,29,"Belum Matang"
"241",121,70,14,104,241,118,14460,36,"Belum Matang"
"83",172,90,24,106,236,172,18246,38,"Setengah Matang"
"183.1",131,48,20,113,233,128,20046,45,"Setengah Matang"
"179",140,61,17,109,239,139,17937,52,"Setengah Matang"
"158",171,82,22,108,239,171,13329,30,"Belum Matang"
"165",175,90,24,107,234,177,14232,30,"Belum Matang"
"39",147,91,16,103,245,145,12636,29,"Belum Matang"
"279",145,55,17,111,238,146,15504,39,"Setengah Matang"
"276",172,70,25,111,233,173,17583,39,"Setengah Matang"
"5",132,54,22,111,235,129,17952,35,"Belum Matang"
"211",107,60,7,103,248,104,8103,26,"Belum Matang"
"155",166,100,22,102,238,164,13515,30,"Belum Matang"
"410",130,87,13,101,245,127,11040,29,"Belum Matang"
"237",182,89,28,108,230,183,24486,40,"Setengah Matang"
"69.1",139,52,19,111,239,145,17691,27,"Setengah Matang"
"194.1",116,38,18,114,237,113,17313,45,"Setengah Matang"
"69",139,52,19,111,239,145,17691,27,"Setengah Matang"
"6",126,47,19,112,235,124,18801,35,"Belum Matang"
"145.1",172,74,28,110,233,174,23865,35,"Setengah Matang"
"56.1",179,72,30,111,232,182,33570,56,"Setengah Matang"
"28",132.146932090633,58.0644777631387,18.3853067909367,108.926533954684,238.073466045316,128.302852463443,18153.7280508564,35,"Belum Matang"
"140",144,69,18,107,240,147,18420,35,"Setengah Matang"
"63",152,61,21,110,239,158,20208,27,"Setengah Matang"
"148",134,65,16,107,242,130,15408,35,"Setengah Matang"
"36",140,94,17,101,244,138,11781,29,"Belum Matang"
"182",125,43,16,113,234,118,21180,45,"Setengah Matang"
"248",175,99,26,105,235,175,21246,36,"Belum Matang"
"172.1",125,59,16,108,241,119,16560,52,"Setengah Matang"
"76.1",122,62,15,105,241,115,15963,38,"Setengah Matang"
"156",130,80,13,101,244,128,9624,30,"Belum Matang"
"61",135,52,22,112,229,134,20934,27,"Setengah Matang"
"147",135,66,16,107,240,132,18462,35,"Setengah Matang"
"221",134,54,14,110,242,132,11271,26,"Belum Matang"
"80.1",153,56,22,112,239,156,18657,38,"Setengah Matang"
"235",163,71,23,109,234,163,21984,40,"Setengah Matang"
"213",171,94,21,105,237,175,13692,26,"Belum Matang"
"59",135,61,17,109,240,134,22770,56,"Setengah Matang"
"181",126,47,23,113,232,119,21147,45,"Setengah Matang"
"144.1",160,63,20,111,238,161,18816,35,"Setengah Matang"
"68",164,72,29,110,233,167,21315,27,"Setengah Matang"
"172",125,59,16,108,241,119,16560,52,"Setengah Matang"
"71.1",134,45,19,113,238,131,16104,27,"Setengah Matang"
"35",124,93,14,97,244,122,11169,29,"Belum Matang"
"53",194,85,32,110,228,196,34449,56,"Setengah Matang"
"168.1",122,55,14,108,241,115,16572,52,"Setengah Matang"
"90",150,74,23,108,235,149,19470,38,"Setengah Matang"
"202",160,56,26,113,231,160,22506,62,"Setengah Matang"
"210",141,50,20,112,235,143,22848,62,"Setengah Matang"
"57",160,73,22,109,238,162,22734,56,"Setengah Matang"
"111",136.689528686926,60.1732991915196,18.6895286869258,109.068586060777,239.310471313074,135.137172121555,16575.1117035393,35,"Belum Matang"
"186",164,65,33,112,220,167,25044,45,"Setengah Matang"
"23",133.074541219044,76.6863530476112,17.4946756272111,104.462729390478,242.515973118367,129.590514337411,12684.7723709147,31.9680537632667,"Belum Matang"
"91",158.937171683647,101.460097935982,21.0169758116826,102.147707374766,238.261463126168,159.23258643318,17178.0939298393,33.0169758116826,"Belum Matang"
"238",203,100,35,108,224,203,29751,40,"Setengah Matang"
"1211",112,36,17,114,235,107,23949,49,"Matang"
"109",165,59,27,113,226,164,25035,31,"Matang"
"267",109,34,16,114,237,107,20424,51,"Matang"
"98",109,32,16,115,236,107,21405,43,"Matang"
"332",130.217543272767,45.6221320279874,24.3244264055975,113.891857864801,234.918578648008,123.866396083962,25722.6224137614,52.4045887552202,"Matang"
"262",103,34,17,114,228,100,24771,51,"Matang"
"128",129,41,20,114,234,123,22452,49,"Matang"
"1311",127,40,21,115,233,121,23631,49,"Matang"
"129",110,33,17,115,235,106,22161,49,"Matang"
"125",143,49,23,113,231,141,24873,49,"Matang"
"130",127,39,21,115,233,122,19941,49,"Matang"
"106",111,35,14,114,236,109,19011,31,"Matang"
